Registration Year,EV Registrations,State,County GEOID,ZIP Code,County
2010,20,California,06001,,
2011,362,California,06001,,
2012,1168,California,06001,,
2013,3622,California,06001,,
2014,8304,California,06001,,
2015,13197,California,06001,,
2016,18116,California,06001,,
2017,24758,California,06001,,
2018,34389,California,06001,,
2019,42451,California,06001,,
2020,45785,California,06001,,
2013,2,California,06003,,
2014,5,California,06003,,
2015,3,California,06003,,
2016,4,California,06003,,
2017,3,California,06003,,
2018,4,California,06003,,
2019,6,California,06003,,
2020,11,California,06003,,
2010,1,California,06005,,
2011,6,California,06005,,
2012,8,California,06005,,
2013,9,California,06005,,
2014,21,California,06005,,
2015,44,California,06005,,
2016,58,California,06005,,
2017,92,California,06005,,
2018,128,California,06005,,
2019,175,California,06005,,
2020,226,California,06005,,
2011,8,California,06007,,
2012,28,California,06007,,
2013,69,California,06007,,
2014,134,California,06007,,
2015,178,California,06007,,
2016,245,California,06007,,
2017,395,California,06007,,
2018,588,California,06007,,
2019,796,California,06007,,
2020,982,California,06007,,
2011,4,California,06009,,
2012,8,California,06009,,
2013,27,California,06009,,
2014,40,California,06009,,
2015,53,California,06009,,
2016,75,California,06009,,
2017,115,California,06009,,
2018,177,California,06009,,
2019,224,California,06009,,
2020,276,California,06009,,
2013,1,California,06011,,
2014,4,California,06011,,
2015,6,California,06011,,
2016,8,California,06011,,
2017,12,California,06011,,
2018,21,California,06011,,
2019,28,California,06011,,
2020,45,California,06011,,
2010,10,California,06013,,
2011,158,California,06013,,
2012,632,California,06013,,
2013,1929,California,06013,,
2014,4233,California,06013,,
2015,6769,California,06013,,
2016,9279,California,06013,,
2017,12882,California,06013,,
2018,18253,California,06013,,
2019,22803,California,06013,,
2020,25938,California,06013,,
2012,3,California,06015,,
2013,12,California,06015,,
2014,19,California,06015,,
2015,26,California,06015,,
2016,36,California,06015,,
2017,47,California,06015,,
2018,64,California,06015,,
2019,76,California,06015,,
2020,92,California,06015,,
2011,21,California,06017,,
2012,68,California,06017,,
2013,212,California,06017,,
2014,460,California,06017,,
2015,679,California,06017,,
2016,925,California,06017,,
2017,1314,California,06017,,
2018,1894,California,06017,,
2019,2381,California,06017,,
2020,2795,California,06017,,
2010,2,California,06019,,
2011,33,California,06019,,
2012,76,California,06019,,
2013,226,California,06019,,
2014,740,California,06019,,
2015,1306,California,06019,,
2016,2054,California,06019,,
2017,3198,California,06019,,
2018,4154,California,06019,,
2019,5015,California,06019,,
2020,5481,California,06019,,
2013,2,California,06021,,
2014,4,California,06021,,
2015,11,California,06021,,
2016,19,California,06021,,
2017,24,California,06021,,
2018,35,California,06021,,
2019,53,California,06021,,
